id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
200803,Altered Species,/1ki6TnBxlKG81ZbaXvaxEa7BXcK.jpg,0.0,0.2941,/93mzxkyy5kaDM1fXXTL2f7yWdHv.jpg,1.0,0.5957,1.0,0.3016,3,1,overlap_gain
204611,The McPherson Tape,/Ap6zknBoIHaioieVfOLd5qaWd4X.jpg,0.0,0.2078,/7HT0pnqdIejrjciSnYDvVGL4rXB.jpg,1.0,1.0,1.0,0.7922,5,1,overlap_gain
208703,Rufus,/aL7Lqv1iyZ6HAulWDjJvhwJNeIA.jpg,0.0,0.1031,/4HaHva32h3bZ7UfbQmOhzbGJ0Gb.jpg,1.0,1.0,1.0,0.8969,4,1,overlap_gain
210587,Yellow,/3olg9GQuC7xtym6H1gEVHznm8ee.jpg,0.0,0.0976,/cH0uNpmMUdg9Nu8J4qFRtsTSdFc.jpg,0.0,0.1493,0.0,0.0517,2,0,no
210734,Battlefield Death Tales,/z453yQUIEXI5mG695ZfeEMkDZnx.jpg,0.0,0.3636,/z453yQUIEXI5mG695ZfeEMkDZnx.jpg,0.0,0.3636,0.0,0.0,1,0,no
214680,Convergence,/b15UobERIODyWwjuIGVRKLBLBkO.jpg,0.0,0.1649,/b15UobERIODyWwjuIGVRKLBLBkO.jpg,0.0,0.1649,0.0,0.0,1,0,no
215280,Billy Badd,/zJwP5epnNOuna569g2fI9QZeeJ1.jpg,0.0,0.0,/zJwP5epnNOuna569g2fI9QZeeJ1.jpg,0.0,0.0,0.0,0.0,1,0,no
216139,Burned at the Stake,/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,0.5,0.0126,/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,0.5,0.0126,0.0,0.0,5,0,no
217903,El virus del poder,/piCRFtp2MdmL1UgCCkVM6I6AEK1.jpg,0.25,0.1023,/wnx0OxIJiWfChDJ2GuGsKqk4RWS.jpg,1.0,0.25,0.75,0.1477,1,1,overlap_gain
219961,Sonata,/A1C6UkDJudXNeTRjB33J9iJASQg.jpg,0.0,0.1633,/A1C6UkDJudXNeTRjB33J9iJASQg.jpg,0.0,0.1633,0.0,0.0,1,0,no
223281,The Unspeakable,/ApCMWR2jg45lZTGMjN2JIpIwePj.jpg,0.0,0.1552,/k3QdOgPjhJsjbd4xjM96gGzPcxr.jpg,1.0,1.0,1.0,0.8448,2,1,overlap_gain
223344,Maxie,/b8oVCFTxDwF2m5CQwgqzdpppkIp.jpg,0.0,0.0473,/b8oVCFTxDwF2m5CQwgqzdpppkIp.jpg,0.0,0.0473,0.0,0.0,1,0,no
226023,The Men Who Fell,/qUnmfvrrmn1BFcc7KkXyzwwRrHi.jpg,0.0,0.124,/qUnmfvrrmn1BFcc7KkXyzwwRrHi.jpg,0.0,0.124,0.0,0.0,1,0,no
227433,Hong-Do Mirror,/tFyHHxAMmwA76jTb9YRQoocFRmw.jpg,0.0,0.375,/tFyHHxAMmwA76jTb9YRQoocFRmw.jpg,0.0,0.375,0.0,0.0,2,0,no
